score,hits,title,year,venue,doi,url,abstract
9,contracts:1|control:5|robotics:3,Safe and Efficient Mobile Robot Navigation using Sampling-based Optimal Control with Barrier Function Constraints,2025,Journal of Robotics and Control (JRC),10.18196/jrc.v6i6.27770,https://doi.org/10.18196/jrc.v6i6.27770,"Safe and efficient navigation in constrained environments presents a significant challenge for omnidirectional Mecanum-wheeled mobile robots, especially when operating in dynamic or cluttered spaces. Many existing control approaches struggle to balance real-time performance with formal safety guarantees, creating a gap between theoretical models and practical implementation. To address this, we propose a hybrid Model Predictive Path Integral (MPPI) controller that incorporates Control Barrier Functions (CBFs) to enforce safety constraints during trajectory optimization. The research contribution is a unified framework that combines the flexibility of stochastic samplingbased planning with the rigor of formal safety enforcement, implemented using the GPU-accelerated JAX framework to enable fast, parallel trajectory evaluation at high control frequencies. Our method integrates CBFs through both cost shaping and quadratic programming (QP)-based filtering, allowing unsafe trajectories to b"
8,contracts:1|perception:2|control:2|robotics:3,Control of Sensory Perception in a Mobile Navigation Problem,1999,The International Journal of Robotics Research,10.1177/027836499901800201,https://doi.org/10.1177/027836499901800201,"The problem of controlling sensory input and perception for use in mobile navigation is addressed in this paper. The proposed solution offers several advantages compared with existing methods in the literature. First, the proposed solution is based on a stochastic dynamic-programming algorithm that guarantees cost efficiency of the real-time sensory-perception controller by solving a constrained optimization problem. Second, a new and unique discrete-event model of mobile navigation is presented. The model is task independent, and can be used in a wide range of applications. Third, the discrete events become a natural common representational format for the sensors, which further extends the applicability of the proposed solution. Fourth, the sensing aspect of discrete-event systems has often been neglected in the literature. In this paper, we present a unique approach to on-line discrete-event identification."
8,perception:1|control:3|robotics:4,Crowded Environment Navigation with NEAT: Impact of Perception Resolution on Controller Optimization,2021,Journal of Intelligent &amp; Robotic Systems,10.1007/s10846-020-01308-8,https://doi.org/10.1007/s10846-020-01308-8,"Abstract Crowd navigation with autonomous systems is a topic which has seen a rapid increase in interest recently. While it appears natural to humans, being able to reach a target can prove difficult or impossible to a mobile robot because of the safety issues related to collisions with people. In this work we propose an approach to control a robot in a crowded environment; the method employs an Artificial Neural Network (ANN) that is trained with the NeuroEvolution of Augmented Topologies (NEAT) method. Models for the kinematics, perception, and cognition of the robot are presented. In particular, perception is based on a raycasting model which is tailored on the ANN. An in-depth analysis of a number of parameters of the environment and the robot is performed and a comparative analysis is presented; finally, results of the performance of the controller trained with NEAT are compared to those of a human driver who takes over the controller itself. Results show that the intelligent cont"
8,perception:3|control:2|robotics:3,"A Comprehensive Review of Sensing, Control, and Networking in Agricultural Robots: From Perception to Coordination",2025,Robotics,10.3390/robotics14110159,https://doi.org/10.3390/robotics14110159,"This review critically examines advancements in sensing, control, and networking technologies for agricultural robots (AgRobots) and their impact on modern farming. AgRobots—including Unmanned Aerial Vehicles (UAVs), Unmanned Ground Vehicles (UGVs), Unmanned Surface Vehicles (USVs), and robotic arms—are increasingly adopted to address labour shortages, sustainability challenges, and rising food demand. This paper reviews sensing technologies such as cameras, LiDAR, and multispectral sensors for navigation, object detection, and environmental perception. Control approaches, from classical PID (Proportional-Integral-Derivative) to advanced nonlinear and learning-based methods, are analysed to ensure precision, adaptability, and stability in dynamic agricultural settings. Networking solutions, including ZigBee, LoRaWAN, 5G, and emerging 6G, are evaluated for enabling real-time communication, multi-robot coordination, and data management. Swarm robotics and hybrid decentralized architectur"
8,perception:2|control:3|robotics:3,"Perception, control, and hardware for in-hand slip-aware object manipulation with parallel grippers",2025,The International Journal of Robotics Research,10.1177/02783649251397549,https://doi.org/10.1177/02783649251397549,"Dexterous in-hand manipulation offers significant potential to enhance robotic manipulator capabilities. This paper presents a sensori-motor architecture for in-hand slip-aware control, being embodied in a sensorized gripper. The gripper in our architecture features rapid closed-loop, low-level force control and is equipped with sensors capable of independently measuring contact forces and sliding velocities. Our system can quickly estimate essential object properties during pick-up using only in-hand sensing, without relying on prior object information. We introduce four distinct slippage controllers: gravity-assisted trajectory following for both rotational and linear slippage, a hinge controller that maintains the object’s orientation while the gripper rotates, and a slip-avoidance controller. The gripper is mounted on a robot arm and validated through extensive experiments involving a diverse range of objects, demonstrating the architecture’s novel capabilities for manipulating obj"
8,perception:3|control:3|robotics:2,Real-time controller design and onboard attitude estimation of a quadrotor with collision safety through ultrasonic sensors,2025,International Journal of Advanced Robotic Systems,10.1177/17298806251314607,https://doi.org/10.1177/17298806251314607,"Quadrotors are small-sized, inexpensive aerial systems widely used for various indoor operations. Stable flight is a challenge for quadrotors due to low-cost sensors and indoor flight safety constraints add to their complexity. In this study, an Arduino based quadrotor is designed to test 2nd order Complementary filters for state estimation along with a controller with collision safety for indoor flight. Ultrasonic sensors are used for object detection during flight. Detailed hardware assembling along with the implementation of Complementary filter and PID controller is discussed. System tunning is done using the Heuristic method and system response is tested in real time. This study proves that by using the above techniques, a stable flight is achieved with collision safety using ultrasonic sensors."
7,perception:1|control:3|robotics:3,"Perception, Planning, and Control for Autonomous Walking With the Ambler Planetary Rover",1996,The International Journal of Robotics Research,10.1177/027836499601500204,https://doi.org/10.1177/027836499601500204,"Producing a robotic system that can operate autonomously on other planets is a challenging task: The robot must be ex tremely self-reliant; it must be able to operate on a limited power budget; and it must be able to traverse a wide range of rugged terrain features. This article describes an integrated software system that combines perception, planning, real-time control, and task-level control to navigate autonomously the Ambler, a six-legged rover. The overall approach to walking is highly deliberative: Where actions are goal-directed, steps are planned out in detail using explicit models of the terrain and the vehicle, and moves are checked for safety prior to execution. We believe that this approach is well-suited to meet ing the challenges of reliability, efficiency, and terrainability faced by autonomous planetary rovers. The Ambler system has been extensively tested, both indoors and outdoors, and the results confirm our expectations regarding the degree of system capability and"
7,control:3|robotics:4,An Adaptive Multi-Controller Architecture for Mobile Robot Navigation,2008,Intelligent Autonomous Systems 10,10.3233/978-1-58603-887-8-342,https://doi.org/10.3233/978-1-58603-887-8-342,"This paper proposes a hybrid control architecture dedicated to the navigation of autonomous mobile robots in presence of obstacles. The proposed control structure is flexible, adaptive and takes into account the different possible interactions between the multitude of controllers composing the architecture of control. This is enabled by the use of stable elementary controllers and to specific mechanisms of coordination and adaptation which guaranties the stability of the overall architecture."
7,contracts:1|perception:1|control:4|robotics:1,Adaptive Fuzzy Cerebellar Model Articulation Controller for Two-Wheeled Robot,2012,Advanced Materials Research,10.4028/www.scientific.net/amr.482-484.1025,https://doi.org/10.4028/www.scientific.net/amr.482-484.1025,"In this paper, an adaptive Fuzzy Cerebellar Model Articulation Controller (FCMAC) is proposed to control two-wheeled robot at upright position. The dynamical model of the robot, LEGO Mindstorms NXT, is derived from Lagrange of kinetic and potential energies. Based on the developed model, an adaptive FCMAC is then designed. Adaptation laws are derived from the Lyapunov stability analysis. According to the stability analysis, the developed FCMAC guarantees that the system tracking performance and the error convergence can be assured in the closed-loop system. Finally, to compare the system performances we apply the proposed FCMAC and the PID (Proportional Integral Derivative) controller to balance the two-wheeled robot."
7,perception:1|control:2|robotics:4,Autonomous mobile robot navigation in cluttered environment using hybrid Takagi-Sugeno fuzzy model and simulated annealing algorithm controller,2016,World Journal of Engineering,10.1108/wje-08-2016-0055,https://doi.org/10.1108/wje-08-2016-0055,"Purpose This paper aims to design a Takagi–Sugeno fuzzy model with a simulated annealing hybrid algorithm (fuzzy-SAA) that was implemented for mobile robot navigation and obstacle avoidance in a cluttered environment. Design/methodology/approach The SAA is used to optimize the output parameters of the fuzzy controller. The ultrasonic range finder sensor and sharp infrared range sensor are used for calculating the different obstacle distances, such as front, right and left obstacle distance, for selecting the suitable steering angle control command in the environment. Findings The simulation and experimental results show the proposed method is feasible and valid for a wheeled mobile robot moving in a cluttered environment. Originality/value The developed fuzzy-SAA hybrid algorithm provides better results (in terms of navigation path length and time) as compared to previous works, which verifies the effectiveness and efficiency of the developed hybrid algorithm."
7,contracts:1|perception:1|control:3|robotics:2,Safety-Critical Control of a 3D Quadrotor With Range-Limited Sensing,2016,"Volume 1: Advances in Control Design Methods, Nonlinear and Optimal Control, Robotics, and Wind Energy Systems; Aerospace Applications; Assistive and Rehabilitation Robotics; Assistive Robotics; Battery and Oil and Gas Systems; Bioengineering Applications; Biomedical and Neural Systems Modeling, Diagnostics and Healthcare; Control and Monitoring of Vibratory Systems; Diagnostics and Detection; Energy Harvesting; Estimation and Identification; Fuel Cells/Energy Storage; Intelligent Transportation",10.1115/dscc2016-9913,https://doi.org/10.1115/dscc2016-9913,"Enforcing safety is critical for aerial robotics. In this paper we consider the safety control problem for a 3D quadrotor with limited sensing range subject to avoiding collisions with time-varying obstacles. By using the concepts of Control Lyapunov Functions (CLFs) and Control Barrier functions (CBFs), we propose a control algorithm that explicitly considers the nonlinear and underactuated dynamics of a quadrotor to strictly guarantee time-varying safety-critical constraints. We demonstrate the feasibility of our proposed control design through numerical validation of (a) aerial flight through a region of dense cluttered obstacles, and (b) aerial flight through a dense time-varying obstacle field."
7,perception:3|control:1|robotics:3,Real-Time Robust 3D Plane Extraction for Wearable Robot Perception and Control,2018,2018 Design of Medical Devices Conference,10.1115/dmd2018-6964,https://doi.org/10.1115/dmd2018-6964,"Wearable environment perception system has the great potential for improving the autonomous control of mobility aids [1]. A visual perception system could provide abundant information of surroundings to assist the task-oriented control such as navigation, obstacle avoidance, object detection, etc., which are essential functions for the wearers who are visually impaired or blind [2, 3, 4]. Moreover, a vision-based terrain sensing is a critical input to the decision-making for the intelligent control system. Especially for the users who find difficulties in manually achieving a seamless control model transition."
7,perception:1|control:3|robotics:3,Motion Planning and Control with Randomized Payloads on Real Robot Using Deep Reinforcement Learning,2019,International Journal of Semantic Computing,10.1142/s1793351x19400233,https://doi.org/10.1142/s1793351x19400233,"In this study, a unified motion planner with low level controller for continuous control of a differential drive mobile robot under variable payload values is presented. The deep reinforcement agent takes 11-dimensional state vector as input and calculates each wheel’s torque value as a 2-dimensional output vector. These torque values are fed into the dynamic model of the robot, and lastly steering commands are gathered. In previous studies, intersection navigation solutions that uses deep-RL methods, have not been considered with variable payloads. This study is focused specifically on service robotic applications where payload is subject to change. In this study, deep-RL-based motion planning is performed by considering both kinematic and dynamic constraints. According to the simulations in a dynamic environment, the agent successfully navigates to target with 98.2% success rate in test time with unseen payload masses during training. Another agent is also trained without payload ran"
7,contracts:1|perception:1|control:4|robotics:1,Barrier Lyapunov function-based robot control with an augmented neural network approximator,2021,Industrial Robot: the international journal of robotics research and application,10.1108/ir-06-2021-0114,https://doi.org/10.1108/ir-06-2021-0114,"Purpose Considering the complexity of dynamic and friction modeling, this paper aims to develop an adaptive trajectory tracking control scheme for robot manipulators in a universal unmodeled method, avoiding complicated modeling processes. Design/methodology/approach An augmented neural network (NN) constituted of radial basis function neural networks (RBFNNs) and additional sigmoid-jump activation function (SJF) neurons is introduced to approximate complicated dynamics of the system: the RBFNNs estimate the continuous dynamic term and SJF neurons handle the discontinuous friction torques. Moreover, the control algorithm is designed based on Barrier Lyapunov Function (BLF) to constrain output error. Findings Lyapunov stability analysis demonstrates the exponential stability of the closed-loop system and guarantees the tracking errors within predefined boundaries. The introduction of SJFs alleviates the limitation of RBFNNs on discontinuous function approximation. Owing to the fast lear"
7,perception:3|control:3|robotics:1,Control Method of Wire Repairing Robot Based on Semantic Segmentation and Current Detection,2023,Journal of Physics: Conference Series,10.1088/1742-6596/2562/1/012065,https://doi.org/10.1088/1742-6596/2562/1/012065,"Abstract The traditional repair of conductors in power systems, using manual work at height, carries a high level of risk. To ensure personnel safety and improve operational efficiency. Based on the development of a conductor repair robot using pre-stranded wires, the focus is on a semantic segmentation-based adaptive conductor arc sag control method, which enables the robot to adapt to conductors with different arc sags by segmentation identification of the conductor, offset calculation, and proportional-integral controller design to realize the robot hanging on the conductor. Subsequently, the winding gap is monitored according to the change of motor current, and a fuzzy controller is used to realize the robot winding operation. The robot prototype tests show that the robot is capable of adapting to the wire pitch and completing soft repair work."
7,perception:2|control:2|robotics:3,"Advancements, Challenges and Safety Implications of AI in Autonomous Vehicles: A Comparative Analysis of Urban vs. Highway Environments",2024,Journal of Robotics and Control (JRC),10.18196/jrc.v5i3.21114,https://doi.org/10.18196/jrc.v5i3.21114,"This research reviews AI integration in AVs, evaluating its effectiveness in urban and highway settings. Analyzing over 161 studies, it explores advancements like machine learning perception, sensor technology, V2X communication, and adaptive cruise control. It also examines challenges like traffic congestion, pedestrian and cyclist safety, regulations, and technology limitations. Safety considerations include human-AI interaction, cybersecurity, and liability/ethics. The study contributes valuable insights into the latest developments and challenges of AI in AVs, specifically in urban and highway contexts, which will guide future transportation research and decision-making. In urban settings, AI-powered sensor fusion technology helps AVs navigate dynamic traffic safely. On highways, adaptive cruise control systems maintain safe distances, reducing accidents. These findings suggest AI facilitates safer navigation in urban areas and enhances safety and efficiency on highways. While AI i"
7,contracts:1|perception:1|control:2|robotics:3,Development of a novel interface between vision controller and motion controller for an outdoor autonomous mobile robot,2024,AIP Conference Proceedings,10.1063/5.0197571,https://doi.org/10.1063/5.0197571,
7,perception:1|control:3|robotics:3,"Embodied Intelligence: Bionic Robot Controller Integrating Environment Perception, Autonomous Planning, and Motion Control",2024,IEEE Robotics and Automation Letters,10.1109/lra.2024.3377559,https://doi.org/10.1109/lra.2024.3377559,
7,perception:3|control:2|robotics:2,Sorting Line Assisted by A Robotic Manipulator and Artificial Vision with Active Safety,2024,Journal of Robotics and Control (JRC),10.18196/jrc.v5i2.20327,https://doi.org/10.18196/jrc.v5i2.20327,"This article presents the design, implementation and evaluation of an object classification and manipulation system in industrial environments by integrating artificial vision and a MELFA RV-2SDB robotic manipulator. The central problem lies in the need to achieve rapid and accurate classification of objects for palletizing, while ensuring the safety of operators. To address this challenge, a machine vision system based on Logitech C920 HD Pro cameras and force and torque sensors was used on the robotic manipulator. The methodology focused on the use of object and person detection algorithms, as well as direct and inverse kinematics to calculate adaptive movements of the manipulator. The experiments covered evaluation of the system's accuracy and efficiency under various lighting and environmental conditions, as well as testing people detection and geometric shape classification. The results indicated that the system allowed precise and efficient manipulation, adapting in real time to "
7,control:3|robotics:4,Safety and Surveillance on Unmanned Aerial Vehicles Control Systems and Optimization Methods: A Systematic Review,2025,International Journal of Robotics and Control Systems,10.31763/ijrcs.v5i5.1859,https://doi.org/10.31763/ijrcs.v5i5.1859,"Unmanned Aerial Vehicles (UAVs) have become an issue of high research activity because of their extensive variety of applications in agriculture, logistics, security, and emergency responses. Though they are advancing at a very fast rate, their operational capability is still limited due to a number of issues, the primary ones being short flight range, inadequate autonomy, and the difficulty of collaborating with UAVs. The short battery life, which has been a source of energy constraint, has led to the investigation of hybrid propulsion systems, improved energy management, and automated battery replacement via docking systems. No less important are the questions of autonomous navigation, supposed to be based on efficient path planning, collision avoidance, and optimization of the payload. The coordination of swarms of UAVs also adds complexity to the system, which, in turn, necessitates providing the system with dependable communication and safety measures. Recent research indicates th"
7,perception:2|control:3|robotics:2,Graph-Fused Vision-Language-Action Models for Semantically Safe Dual-Robot Control via Control Barrier Functions,2026,,10.31224/6733,https://doi.org/10.31224/6733,"Deploying dual-arm robots in human-centric environments demands not only dexterous task execution but also strict adherence to common sense safety constraints. While recent advancements in Vision-Language-Action (VLA) models enable complex policy reasoning from human demonstrations, they typically lack the formal motion safeguards required to prevent semantically unsafe behaviors—such as manipulating liquids above electronics. In this work, we propose a unified framework that integrates a Graph-Fused VLA (GF-VLA) model with a semantic safety filter, enabling task-level reasoning and certified safe execution for dual-robot systems. To generate manipulation strategies, our approach extracts information-theoretic cues from visual inputs to construct temporal scene graphs that capture intricate hand-object interactions. A language-conditioned transformer leverages these graphs to output hierarchical behavior trees, interpretable Cartesian commands, and optimal cross-hand assignments. Concu"
7,perception:1|control:2|robotics:4,Evolutionary algorithm based neural network controller with selective sensor usage for autonomous mobile robot navigation,None,IJCNN'01. International Joint Conference on Neural Networks. Proceedings (Cat. No.01CH37222),10.1109/ijcnn.2001.938507,https://doi.org/10.1109/ijcnn.2001.938507,
6,perception:2|control:1|robotics:3,Control of Sensory Perception in a Mobile Navigation Problem,1999,International Journal of Robotics Research,10.1177/02783649922066150,https://doi.org/10.1177/02783649922066150,
6,perception:2|control:1|robotics:3,An Agricultural Mobile Robot with Vision-Based Perception for Mechanical Weed Control,2002,Autonomous Robots,10.1023/a:1015674004201,https://doi.org/10.1023/a:1015674004201,
6,perception:1|control:2|robotics:3,An optimized modular neural network controller based on environment classification and selective sensor usage for mobile robot reactive navigation,2007,Neural Computing and Applications,10.1007/s00521-006-0079-1,https://doi.org/10.1007/s00521-006-0079-1,
6,perception:1|control:2|robotics:3,Autonomous parallel parking of a car-like mobile robot by a neuro-fuzzy sensor-based controller,2009,Fuzzy Sets and Systems,10.1016/j.fss.2009.01.019,https://doi.org/10.1016/j.fss.2009.01.019,
6,perception:2|control:1|robotics:3,Navigation and Control of Mobile Robot Using Sensor Fusion,2010,Robot Vision,10.5772/9284,https://doi.org/10.5772/9284,
6,perception:1|control:2|robotics:3,Vision-only Motion Controller for Omni-directional Mobile Robot Navigation,2011,Advances in Robot Navigation,10.5772/17013,https://doi.org/10.5772/17013,
6,contracts:1|perception:3|control:1|robotics:1,Telepresence Robot with Image-Based Face Tracking and 3D Perception with Human Gesture Interface Using Kinect Sensor,2014,2014 Joint Conference on Robotics: SBR-LARS Robotics Symposium and Robocontrol,10.1109/sbr.lars.robocontrol.2014.11,https://doi.org/10.1109/sbr.lars.robocontrol.2014.11,
6,contracts:1|perception:1|control:2|robotics:2,Brain Computer Interface for Micro-controller Driven Robot Based on Emotiv Sensors,2017,International Journal of Interactive Multimedia and Artificial Intelligence,10.9781/ijimai.2017.457,https://doi.org/10.9781/ijimai.2017.457,"A Brain Computer Interface (BCI) is developed to navigate a micro-controller based robot using Emotiv sensors. The BCI system has a pipeline of 5 stages- signal acquisition, pre-processing, feature extraction, classification and CUDA inter- facing. It shall aid in serving a prototype for physical movement of neurological patients who are unable to control or operate on their muscular movements. All stages of the pipeline are designed to process bodily actions like eye blinks to command navigation of the robot. This prototype works on features learning and classification centric techniques using support vector machine. The suggested pipeline, ensures successful navigation of a robot in four directions in real time with accuracy of 93 percent."
6,perception:1|control:3|robotics:2,Human-Robot Trust Integrated Task Allocation and Symbolic Motion Planning for Heterogeneous Multi-Robot Systems,2018,"Volume 3: Modeling and Validation; Multi-Agent and Networked Systems; Path Planning and Motion Control; Tracking Control Systems; Unmanned Aerial Vehicles (UAVs) and Application; Unmanned Ground and Aerial Vehicles; Vibration in Mechanical Systems; Vibrations and Control of Systems; Vibrations: Modeling, Analysis, and Control",10.1115/dscc2018-9161,https://doi.org/10.1115/dscc2018-9161,"This paper presents a human-robot trust integrated task allocation and motion planning framework for multi-robot systems (MRS) in performing a set of parallel subtasks. Parallel subtask specifications are conjuncted with MRS to synthesize a task allocation automaton. Each transition of the task allocation automaton is associated with the total trust value of human in corresponding robots. A dynamic Bayesian network (DBN) based human-robot trust model is constructed considering individual robot performance, safety coefficient, human cognitive workload and overall evaluation of task allocation. Hence, a task allocation path with maximum encoded human-robot trust can be searched based on the current trust value of each robot in the task allocation automaton. Symbolic motion planning (SMP) is implemented for each robot after they obtain the sequence of actions. The task allocation path can be intermittently updated with this DBN based trust model. The overall strategy is demonstrated by a "
6,contracts:1|perception:1|control:3|robotics:1,Adaptive finite-time fuzzy command filtered controller design for uncertain robotic manipulators,2019,International Journal of Advanced Robotic Systems,10.1177/1729881419828148,https://doi.org/10.1177/1729881419828148,"In this article, an adaptive fuzzy control command filtered control approach, which is capable of achieving finite-time trajectory tracking control of uncertain robotic manipulators, is proposed by using the backstepping control technique. To obtain a finite-time estimation of a virtual control input and its first-order derivative, a second-order finite-time command filter is designed. Based on the backstepping control technique, an adaptive fuzzy controller that guarantees not only that the tracking errors tend to an arbitrary small region in finite time but also that all signals in the closed-loop system keep bounded is established. Finally, the effectiveness of the proposed method is demonstrated by simulation on a two-link robotic manipulator."
6,contracts:1|perception:1|control:3|robotics:1,Fractional-order fuzzy adaptive controller design for uncertain robotic manipulators,2019,International Journal of Advanced Robotic Systems,10.1177/1729881419840223,https://doi.org/10.1177/1729881419840223,"A sliding mode adaptive fractional fuzzy control is provided in this article to achieve the trajectory tracking control of uncertain robotic manipulators. By adaptive fractional fuzzy control, we mean that fuzzy parameters are updated through fractional-order adaptation laws. The main idea of this work consists in using fractional input to control complex integer-order nonlinear systems. An adaptive fractional fuzzy control that guarantees tracking errors tend to an arbitrary small region is established. To facilitate the stability analysis, fractional-order integral Lyapunov functions are proposed, and the integer-order Lyapunov stability criterion is used. Finally, simulation results are presented to show the effectiveness of the proposed method."
6,control:3|robotics:3,Adaptive Robust Controller Design-Based RBF Neural Network for Aerial Robot Arm Model,2021,Electronics,10.3390/electronics10070831,https://doi.org/10.3390/electronics10070831,"Aerial Robot Arms (ARAs) enable aerial drones to interact and influence objects in various environments. Traditional ARA controllers need the availability of a high-precision model to avoid high control chattering. Furthermore, in practical applications of aerial object manipulation, the payloads that ARAs can handle vary, depending on the nature of the task. The high uncertainties due to modeling errors and an unknown payload are inversely proportional to the stability of ARAs. To address the issue of stability, a new adaptive robust controller, based on the Radial Basis Function (RBF) neural network, is proposed. A three-tier approach is also followed. Firstly, a detailed new model for the ARA is derived using the Lagrange–d’Alembert principle. Secondly, an adaptive robust controller, based on a sliding mode, is designed to manipulate the problem of uncertainties, including modeling errors. Last, a higher stability controller, based on the RBF neural network, is implemented with the "
6,perception:1|control:4|robotics:1,Safe Adaptive Trajectory Tracking Control of Robot for Human-Robot Interaction Using Barrier Function Transformation,2021,Collaborative Robots [Working Title],10.5772/intechopen.97255,https://doi.org/10.5772/intechopen.97255,"In this chapter, safety methods in human-robot (HR) interaction/collaboration are presented. Ensuring the safety of humans, objects, or even the robot itself in the robot’s operating environment is one of the crucial aspects of collaborative robotics. Since there are limited ways of controlling the behavior of humans, e.g., by placing physical barriers, shaping the behavior of the robot is a feasible option. The chapter discusses current methods of placing barriers for human safety in an industrial setting and novel methods of placing virtual barriers by designing robot controllers using barrier transformation. The concepts of barrier functions (BFs), control barrier functions (CBFs), and barrier transformations are reviewed. The barrier transformation concept is used to design an adaptive trajectory tracking controller for the robot such that the robot does not cross the virtual barriers. The designed controller is tested in simulations. Future directions of safety technology in human"
6,perception:1|control:2|robotics:3,Path Planning Incorporating Semantic Information for Autonomous Robot Navigation,2022,"Proceedings of the 19th International Conference on Informatics in Control, Automation and Robotics",10.5220/0011134300003271,https://doi.org/10.5220/0011134300003271,
