mode_error_rate,sym_collision_rate,sym_blocked_rate,rel_collision_rate,rel_blocked_rate
0.0,0.0136,0.8322,0.0102,0.4336
0.02,0.0136,0.8322,0.0106,0.4432
0.05,0.0136,0.8322,0.0132,0.4512
0.1,0.0136,0.8322,0.0152,0.469
0.2,0.0136,0.8322,0.0204,0.5036
0.4,0.0136,0.8322,0.0294,0.5732
